episode,avg_reward,avg_r_info,avg_r_track,avg_r_action,avg_r_boundary,avg_r_collision,avg_r_uncertainty,clip_ratio,acquire,keep,lost,unlock,reacquire
192,-8.018229,-0.090919,-0.140936,-0.030682,-0.334005,0.000000,0.184512,0.312000,3,29,16,3,0
193,-51.415952,-0.112759,-0.339258,-0.027572,-0.365219,-0.001636,0.172722,0.208000,5,51,23,4,0
194,-24.209577,-0.059224,-0.044985,-0.036846,-0.313589,0.000000,0.094881,0.188000,5,33,28,5,1
195,11.613397,-0.094114,-0.007887,-0.038093,-0.165357,-0.002002,0.199584,0.304000,5,40,17,4,0
196,-55.509152,-0.279669,0.118265,-0.027786,-0.729150,0.000000,0.184643,0.220000,3,21,12,2,0
197,-36.654233,-0.058638,0.000000,-0.024874,-0.787410,0.000000,0.220231,0.310000,0,0,0,0,0
198,-64.467259,-0.117111,-0.226476,-0.029016,-0.649303,0.000000,0.139713,0.200000,3,20,15,2,0
199,-68.630920,-0.149096,-0.057592,-0.027593,-0.664216,0.000000,0.089921,0.148000,4,22,12,3,0
200,-75.093373,-0.055997,-0.018945,-0.027562,-0.881641,0.000000,0.110850,0.148000,2,18,9,2,0
201,-78.583326,-0.001062,-0.278487,-0.030838,-0.783963,0.000000,0.147516,0.236000,4,24,22,3,0
202,-74.081569,-0.025478,-0.079443,-0.023858,-1.005948,0.000000,0.174160,0.244000,2,13,8,2,0
203,-44.439881,-0.122030,-0.018624,-0.031196,-0.754209,0.000000,0.212291,0.206000,2,18,12,2,1
204,-93.732377,-0.045005,-0.100414,-0.022372,-0.896599,0.000000,0.086397,0.126000,3,44,14,3,0
205,-63.028039,-0.150321,-0.089203,-0.027047,-0.646234,0.000000,0.144260,0.174000,2,22,10,2,0
206,-29.394889,-0.182929,-0.046962,-0.029602,-0.437188,0.000000,0.191576,0.190000,2,9,8,2,0
207,-48.218356,-0.064298,-0.280484,-0.025323,-0.601624,0.000000,0.198766,0.278000,4,29,23,4,1
208,-74.965356,-0.070078,0.049340,-0.025381,-0.664050,0.000000,0.113241,0.142000,5,58,21,4,0
209,1.121270,-0.058921,-0.010689,-0.026480,-0.406475,0.000000,0.234908,0.276000,1,7,4,1,0
210,-21.923198,-0.024848,-0.066659,-0.029351,-0.296369,0.000000,0.128929,0.168000,5,30,22,5,0
211,-27.047941,-0.106654,-0.210811,-0.036990,-0.105226,-0.009943,0.091309,0.138000,5,51,25,5,0
212,3.093958,-0.276310,0.025802,-0.035652,-0.201410,0.000000,0.169227,0.218000,7,44,26,5,0
213,-35.991286,-0.066014,-0.136580,-0.030078,-0.398791,0.000000,0.132678,0.206000,4,33,20,4,0
214,17.467033,-0.075215,-0.041756,-0.032048,-0.295545,-0.004665,0.236053,0.284000,1,7,4,1,0
215,-28.264282,-0.194110,0.070700,-0.027653,-0.376308,0.000000,0.208209,0.268000,2,19,8,2,0
216,-27.402736,-0.188650,-0.153956,-0.032303,-0.221431,0.000000,0.220226,0.252000,6,34,26,6,0
217,-26.998706,-0.066415,-0.221360,-0.026437,-0.254478,0.000000,0.162167,0.206000,5,21,20,4,0
218,-40.588074,-0.006243,-0.093304,-0.024968,-0.627842,0.000000,0.112448,0.172000,3,33,16,3,0
219,-20.845270,-0.194858,0.161677,-0.031358,-0.268320,0.000000,0.152780,0.190000,4,16,15,3,0
220,-45.034329,0.000000,-0.256552,-0.025515,-0.386450,0.000000,0.100079,0.182000,3,27,14,3,0
221,-19.015713,-0.101867,-0.161921,-0.028118,-0.361570,0.000000,0.152608,0.184000,4,30,19,4,0
222,-19.547172,-0.154471,-0.151900,-0.029662,-0.198725,0.000000,0.122872,0.170000,5,30,25,5,1
223,-34.432908,-0.108289,-0.302273,-0.028730,-0.307187,0.000000,0.196469,0.240000,5,40,22,5,0
224,-0.564125,-0.333121,-0.093965,-0.034472,-0.200077,0.000000,0.240562,0.280000,3,22,10,2,0
225,-23.517290,-0.128088,-0.125462,-0.026724,-0.479735,0.000000,0.225109,0.226000,3,19,13,3,0
226,-1.250956,-0.096300,-0.088905,-0.035273,-0.234360,0.000000,0.182938,0.278000,3,18,14,3,0
227,-37.809298,-0.121493,-0.352676,-0.033062,-0.273603,0.000000,0.134520,0.200000,5,45,25,4,0
228,-27.102098,-0.000000,-0.140255,-0.027257,-0.377204,0.000000,0.174492,0.230000,5,33,19,3,1
229,-1.286301,-0.008089,-0.088857,-0.030892,-0.261681,0.000000,0.186826,0.240000,3,10,12,3,0
230,-17.341235,-0.331645,-0.116905,-0.031463,-0.283051,0.000000,0.172375,0.220000,5,31,17,3,0
231,-31.622219,-0.065452,-0.146830,-0.026353,-0.440515,0.000000,0.149418,0.196000,3,9,12,3,0
232,-46.601185,-0.062582,-0.215532,-0.027708,-0.423134,0.000000,0.170382,0.214000,4,49,17,3,0
233,-29.022189,-0.101949,-0.137085,-0.024552,-0.485233,0.000000,0.149903,0.212000,2,18,9,2,0
234,-21.127182,-0.164385,-0.036422,-0.023349,-0.470920,0.000000,0.201935,0.254000,1,7,4,1,0
235,-29.668386,0.000000,0.144197,-0.028740,-0.367506,0.000000,0.082272,0.152000,4,52,17,3,0
236,-43.477755,-0.134824,-0.127863,-0.027079,-0.465958,0.000000,0.193209,0.202000,4,17,19,4,0
237,-22.793138,-0.122125,0.002341,-0.029813,-0.456056,0.000000,0.156157,0.192000,3,11,15,3,0
238,-17.229546,-0.118267,0.188498,-0.028622,-0.435943,0.000000,0.139947,0.224000,2,20,10,2,0
239,-25.952493,-0.072008,-0.064547,-0.026343,-0.455190,0.000000,0.145708,0.200000,2,8,8,2,0
240,-21.660029,-0.116079,-0.030685,-0.026414,-0.451422,0.000000,0.189076,0.250000,1,5,4,1,0
